type,start,end,value
Calendar-Interval,797,802,Month
Calendar-Interval,879,884,Month
Calendar-Interval,1065,1070,Month
Calendar-Interval,1184,1189,Month
Period,1329,1333,Years
Period,1453,1459,Decades
Period,1653,1659,Months
Period,2116,2120,Years
Calendar-Interval,2873,2878,Month
Calendar-Interval,2897,2903,Month
Calendar-Interval,2938,2944,Month
Calendar-Interval,2990,2996,Month
Calendar-Interval,3450,3456,Month
Calendar-Interval,5409,5414,Month
Period,5478,5485,Decades
Calendar-Interval,1199,1205,Hour
Calendar-Interval,1095,1110,Quarter-Century
